star_age,log_Teff,log_L,center_h1,center_he4,he_core_mass,co_core_mass
1e-05,4.899730712192615,7.365587246918296,0.7600000012343656,0.2399744758909133,0.0,0.0
7.441600000000001e-05,4.90010765495713,7.367154687105973,0.760000008545045,0.2399745748935439,0.0,0.0
0.00025958682112,4.90010564281751,7.367151483567283,0.7600000259676729,0.2399748128290156,0.0,0.0
0.0007203510787293,4.900100398679278,7.367143822683738,0.760000058206395,0.239975268303779,0.0,0.0
0.0018668799962237,4.900091645598394,7.367145158649221,0.7600001099951991,0.2399760707751634,0.0,0.0
0.0047198108322034,4.900071772654881,7.3671486020841055,0.7600001766171841,0.2399773742909981,0.0,0.0
0.0118188156899884,4.900033567194325,7.367145971687277,0.7600002255919747,0.2399793075230306,0.0,0.0
0.0294834114577121,4.899960622215613,7.367136370455198,0.7600001927836337,0.2399814348914049,0.0,0.0
0.0734385783984542,4.899820469243343,7.367136243290307,0.7600000185363326,0.23998419112537,0.0,0.0
0.1828130994004416,4.899580208764829,7.367161171852208,0.7599994664354376,0.2399883692570084,0.0,0.0
0.4549719075001067,4.899257617862816,7.367254497298783,0.7599982060487557,0.2399938389822548,0.0,0.0
1.1321901128706655,4.898953262892992,7.367559273913062,0.7599959820271813,0.24000019779327,0.0,0.0
2.8173257176583335,4.898778195357603,7.368377014263781,0.7599935837989482,0.2400052599872,0.0,0.0
7.010482345763583,4.8987991128016,7.370261463119435,0.7599923364665098,0.2400075205537315,0.0,0.0
17.444397846610435,4.899029941639724,7.373362217981296,0.7599921461984788,0.2400078504407902,0.0,0.0
43.40731846567767,4.899632887306736,7.377127440961267,0.7599921345050059,0.2400078653347612,0.0,0.0
108.01137310051504,4.901399172788709,7.381071181312201,0.7599921151390803,0.2400078847190007,0.0,0.0
268.7669343294736,4.906488453796042,7.38473018288694,0.7599920611884562,0.2400079386984958,0.0,0.0
668.7782124467157,4.919933657519807,7.387685991848413,0.7599918847946909,0.2400081151416955,0.0,0.0
1664.1342760114112,4.9516520022766075,7.389921698075144,0.7599910593625697,0.240008940622345,0.0,0.0
3384.3473245109194,4.9979741688514965,7.392675347702627,0.7599872094731235,0.2400127905238639,0.0,0.0
5511.486702391881,5.0413024617737925,7.396988206469163,0.7599376887764469,0.240062311126736,0.0,0.0
9539.299555537831,5.035936207225862,7.398328737465262,0.7586185924161504,0.2413814068964351,0.0,0.0
19561.78683427797,5.0287160710660785,7.398180354135896,0.7554030878511185,0.2445969110949695,0.0,0.0
44500.9423797126,5.023165403046567,7.398485633577315,0.7475401564461662,0.2524598420799337,0.0,0.0
106557.54190652848,5.016251868116862,7.400039834514297,0.7277958980202209,0.2722040999135738,0.0,0.0
260974.21964109497,5.003528465028368,7.404872040902825,0.6770734820133232,0.3229265148873608,0.0,0.0
420083.27025816194,4.990470116217501,7.409753085526345,0.6220818925988407,0.3779181032847036,0.0,0.0
561349.2096775713,4.977606612187031,7.413901656267351,0.5707654763877849,0.4292345185021977,0.0,0.0
695775.036285003,4.963819364785749,7.417680664914222,0.5195738882216638,0.4804261055789436,0.0,0.0
824098.7958999267,4.948423425681278,7.4219720762171155,0.4683594189533252,0.5316405736149206,0.0,0.0
942688.308426458,4.898674852718723,7.433545849792584,0.4294699247505679,0.5705300666980699,0.0,0.0
1059822.824880795,4.860649526575728,7.438870077282609,0.3795144294744941,0.620485560338984,0.0,0.0
1176371.9529436843,4.82799610189664,7.441992111701568,0.3271567145831978,0.6728432731796602,0.0,0.0
1284903.4598427566,4.791239563483912,7.444690773143077,0.2758098669821946,0.7241901182865096,0.0,0.0
1387195.1797986135,4.754417995416009,7.448864745058894,0.224765596095438,0.7752343859615068,0.0,0.0
1484465.8045538682,4.7143763094292455,7.4512030485499405,0.1736992919327862,0.8263006857135803,0.0,0.0
