star_age	log_Teff	log_L	center_h1	center_he4	he_core_mass	co_core_mass	radius
1e-05	4.827813535758425	6.613003929583501	0.7600000014893814	0.2399744611428216	0.0	0.0	14.91173077713297
7.441600000000001e-05	4.828030638040984	6.613911508756846	0.7600000101407982	0.2399744731586569	0.0	0.0	14.912403254371505
0.00025958682112	4.828028493238833	6.613903411016205	0.7600000300115141	0.2399745042482463	0.0	0.0	14.912411520475125
0.0007203510787293181	4.828028367443675	6.613905679976567	0.7600000655723124	0.2399745713263972	0.0	0.0	14.91245911418739
0.0018668799962237369	4.828027844406546	6.613910134156498	0.7600001245830238	0.2399747099959313	0.0	0.0	14.912571505925314
0.004719810832203447	4.828022911983177	6.613904844549526	0.7600002198594705	0.2399749803777244	0.0	0.0	14.91281942596752
0.01181881568998848	4.828009827536461	6.613889348747664	0.7600003833721644	0.23997549942025817	0.0	0.0	14.913451980080795
0.02948341145771213	4.827982481728762	6.613874017149135	0.7600006251056141	0.2399763127193859	0.0	0.0	14.915066910159256
0.07343857839845425	4.827922964692484	6.613849223043665	0.7600010731484247	0.23997789075388593	0.0	0.0	14.918729617456082
0.1828130994004416	4.827811020135557	6.613803057264959	0.7600018428168973	0.23998086177303213	0.0	0.0	14.925629236455553
0.45497190750010674	4.827651540285033	6.6137461209791555	0.7600027799974437	0.23998534040679473	0.0	0.0	14.935616053823162
1.1321901128706655	4.827491139172328	6.613677424314069	0.7600033559508644	0.23999025771376903	0.0	0.0	14.945470603722525
2.8173257176583335	4.827403811801942	6.613601935148622	0.7600032862483861	0.23999423861131597	0.0	0.0	14.950182865538064
7.010482345763583	4.827472919934004	6.613515167219766	0.7600029345135177	0.2399965133711216	0.0	0.0	14.943932753717728
17.444397846610435	4.827835552909346	6.613394063519083	0.7600027768797398	0.2399971868572272	0.0	0.0	14.916917465437812
43.40731846567767	4.828807330195238	6.613144942160258	0.7600027574140197	0.23999724176796813	0.0	0.0	14.846051800657143
108.01137310051504	4.8312284156665894	6.612489411702159	0.760002736957136	0.23999726248832548	0.0	0.0	14.670368922471
268.7669343294736	4.837156510253095	6.610994751143788	0.7600026801399239	0.23999731940289537	0.0	0.0	14.250743259532875
668.7782124467157	4.851225803296234	6.607892928045466	0.7600025002339541	0.2399974994750282	0.0	0.0	13.309079470138157
1664.1342760114112	4.882497157258738	6.601523303311518	0.7600017770697245	0.2399982228302577	0.0	0.0	11.439854425426246
3690.893037647728	4.933700025134831	6.594379342111037	0.7599985966740579	0.2400014033129085	0.0	0.0	8.962780934253548
6283.037785320414	4.983759182808209	6.593084223465	0.7599876818714858	0.24001231812489085	0.0	0.0	7.106846037154826
9632.039203046597	5.018537649074588	6.592754481994351	0.7596713048139733	0.24032869484989383	0.0	0.0	6.0527829934861135
16955.14026025692	5.009015474696835	6.5812250942863875	0.7578724355570542	0.2421275637187434	0.0	0.0	6.240720875416631
35177.359082934505	5.002587243816429	6.581512619215257	0.7536943908947256	0.24630560812219637	0.0	0.0	6.430355491556523
80520.07062377958	4.9970538540398195	6.583439222994382	0.7433726630748675	0.25662733563358453	0.0	0.0	6.6109681414575805
193347.24660509516	4.989870268224849	6.589158497269117	0.7171815458128329	0.2828184524417325	0.0	0.0	6.878470405098677
421884.46403123	4.9785967977107894	6.601787909763354	0.6612779451799937	0.33872205235043906	0.0	0.0	7.351120136686704
621474.0358606196	4.968415504947622	6.612608397611148	0.6088394495833436	0.3911605472864728	0.0	0.0	7.800570203673473
805900.2123969899	4.957403793737573	6.62336408428769	0.5572265540742734	0.4427734420911355	0.0	0.0	8.308595489839828
979281.3140876957	4.945421185435381	6.633322208157033	0.5057560596566854	0.49424393571694386	0.0	0.0	8.881204985954227
1142796.5476631504	4.932300436338717	6.642534350578598	0.45423281846901226	0.5457671759902089	0.0	0.0	9.534972909455986
1296734.2793704672	4.91723035606186	6.651636452742358	0.40268705713287856	0.597312936246391	0.0	0.0	10.327867917139894
1441665.4041056875	4.9005756053621665	6.660237825146557	0.3511979055759611	0.6488020864997481	0.0	0.0	11.26213846864002
1578376.712015184	4.8817035093726275	6.668176882964761	0.29967729355469036	0.7003226968983591	0.0	0.0	12.397513320808445
1707025.1847710626	4.8599525915917505	6.675947364670426	0.2481435773788804	0.7518564109810851	0.0	0.0	13.826799333001803
1827305.0047717832	4.821603383550934	6.690973394281482	0.20530569528404016	0.794694290643944	0.0	0.0	16.785453949702838
1964876.7633213133	4.782515825051612	6.6993298000032	0.14387841200524576	0.8561215689328886	0.0	0.0	20.290203872074375
2073591.1851630711	4.743948503698576	6.705752260518542	0.09170251928973575	0.9082974541590904	104.23821385895668	0.0	24.413625805060576
2167279.9674087917	4.702175716584094	6.7115721081018975	0.04368453583447261	0.9563154215854734	104.23821385895651	0.0	29.791185227387267
2215541.95389067	4.677665150562652	6.71511291629882	0.017653317534018678	0.9823466127097672	104.2382138589566	0.0	33.48723716147821
2234751.9056999255	4.668704548409142	6.7168063557140405	0.007035248227902794	0.9929646431495368	104.23821385895651	0.0	34.96610375379711
2242324.5926502687	4.667092891246128	6.7178807358436	0.002838356638527769	0.9971614829649015	104.23821385895668	0.0	35.27018570240739
2245398.3391375532	4.6693479648354534	6.7187559298881085	0.0011645291927699164	0.9988352422225133	104.23821385895668	0.0	34.94098921479664
2246700.661359248	4.671854728479198	6.71933240214107	0.000489881332216734	0.9995098059066168	104.23821385895664	0.0	34.56287852537571
2247289.8927519247	4.674498854978359	6.719792974287241	0.0002138984396546268	0.9997856922944404	104.23821385895656	0.0	34.16268040017271
2247583.1655442542	4.676866682305513	6.720155130426493	9.760556881325133e-05	0.9999018816558503	104.23821385895656	0.0	33.806278231708916
2247746.377160805	4.678834067080383	6.72043612486795	4.642001991715422e-05	0.9999529610808416	104.23821385895656	0.0	33.51221156836549
2247847.165361338	4.6804216098603675	6.720654955404928	2.283873145270427e-05	0.9999764363953104	104.23821385895664	0.0	33.276482961456274
2247915.2026906945	4.681698684293431	6.720827773584668	1.1532406647366768e-05	0.9999876383411341	104.23821385895668	0.0	33.0879361539727
2247964.443474309	4.682733565154778	6.720966529105606	5.938530360695767e-06	0.9999931301793579	104.2382138589566	0.0	32.9358817778323
2248001.9866917827	4.683581143509881	6.7210797099112805	3.1028233272836474e-06	0.9999958665120794	104.23821385895664	0.0	32.81185085392249
2248031.894479506	4.6842867624009035	6.721173831765944	1.639240940028484e-06	0.9999972336399117	104.23821385895664	0.0	32.70894616019366
2248057.5684990347	4.684909039638592	6.721256849515265	8.514541343216359e-07	0.9999979238708931	104.2382138589566	0.0	32.618464003014985
2248105.2761264895	4.686092314802641	6.721413791291557	1.8936280067621328e-07	0.9999983536019212	104.23821385895664	0.0	32.44706560585509
2248168.137930698	4.687659084057945	6.72162257090018	1.0285615820626192e-08	0.9999981115877656	104.2382138589566	0.0	32.221538879605696
2248242.594975953	4.689487396509957	6.721868937938621	3.3081433063776605e-11	0.9999973882485501	104.2382138589566	0.0	31.96044641646925
2248310.386176784	4.691116237861995	6.722091580438762	8.989813748234073e-15	0.9999963682878621	104.23821385895656	0.0	31.72973721953875
2248373.16629969	4.6925941648341345	6.722296602934814	2.5058102827336887e-19	0.9999949811545141	104.23821385895656	0.0	31.521954125532368
2248432.7871801443	4.693971599346644	6.7224891700583855	0.0	0.9999931012176478	104.23821385895646	0.0	31.329578151163705
2248490.394845209	4.695278237122169	6.722672111604949	0.0	0.99999056908636	104.23821385895651	0.0	31.148184782221698
2248546.7541910396	4.696532693050199	6.722848643516889	0.0	0.9999871676896717	104.2382138589564	0.0	30.975055736818277
2248602.407267178	4.697747289619042	6.723020592649818	0.0	0.9999826061204599	104.2382138589564	0.0	30.808381105397434
2248657.7593851723	4.698930321262443	6.723189132902972	0.0	0.999976503987988	104.2382138589564	0.0	30.64693765025412
2248731.54651496	4.700468041848614	6.723409007240246	0.0	0.9999650310826684	104.23821385895646	0.0	30.438383239177305
2248802.667542254	4.70190153401091	6.723616447754165	0.0	0.9999492023983972	104.23821385895646	0.0	30.245329259075813
2248871.1038442655	4.703230667381941	6.723811270927516	0.0	0.9999277971048238	104.2382138589564	0.0	30.067509825694607
