regime,quantity,M,branch,tau_min,tau_max,k,a_k
plateau M ge 800,R,900,6,0.82,0.9,1,0.065997434
plateau M ge 800,R,900,6,0.82,0.9,2,0.0028364153
plateau M ge 800,R,900,6,0.82,0.9,3,-1.5244158000000002e-05
plateau M ge 800,R,900,6,0.82,0.9,4,0.0007778457900000001
plateau M ge 800,R,900,6,0.82,0.9,5,-1.127523e-06
plateau M ge 800,R,900,6,0.82,0.9,6,-0.00033841561
plateau M ge 800,R,900,6,0.82,0.9,7,5.7903268000000004e-05
plateau M ge 800,R,900,6,0.82,0.9,8,-0.00024372875
plateau M ge 800,R,900,7,0.9,0.96,0,1.9119353
plateau M ge 800,R,900,7,0.9,0.96,1,0.20291336
plateau M ge 800,R,900,7,0.9,0.96,2,0.058800245
plateau M ge 800,R,900,7,0.9,0.96,3,0.015516907
plateau M ge 800,R,900,7,0.9,0.96,4,-0.018541612
plateau M ge 800,R,900,7,0.9,0.96,5,0.00094325333
plateau M ge 800,R,900,7,0.9,0.96,6,-0.00035829645
plateau M ge 800,R,900,7,0.9,0.96,7,0.0069718232
plateau M ge 800,R,900,7,0.9,0.96,8,-0.0045009346
plateau M ge 800,R,900,8,0.96,1.0,0,2.4416866
plateau M ge 800,R,900,8,0.96,1.0,1,0.24431598
plateau M ge 800,R,900,8,0.96,1.0,2,-0.013511183
plateau M ge 800,R,900,8,0.96,1.0,3,0.0010395487
plateau M ge 800,R,900,8,0.96,1.0,4,0.0032042641
plateau M ge 800,R,900,8,0.96,1.0,5,-0.0062529691
plateau M ge 800,R,900,8,0.96,1.0,6,0.0027267825
plateau M ge 800,R,900,8,0.96,1.0,7,-0.0015196009
plateau M ge 800,R,900,8,0.96,1.0,8,-0.00053403944
plateau M ge 800,R,1000,0,0.0,0.15,0,1.2266293
plateau M ge 800,R,1000,0,0.0,0.15,1,0.031289079
plateau M ge 800,R,1000,0,0.0,0.15,2,-0.0055864214
plateau M ge 800,R,1000,0,0.0,0.15,3,0.003622439
plateau M ge 800,R,1000,0,0.0,0.15,4,-0.0025580852
plateau M ge 800,R,1000,0,0.0,0.15,5,0.0015837096
plateau M ge 800,R,1000,0,0.0,0.15,6,-0.0013608459
plateau M ge 800,R,1000,0,0.0,0.15,7,0.00075977034
plateau M ge 800,R,1000,0,0.0,0.15,8,-0.0005814542600000001
plateau M ge 800,R,1000,1,0.15,0.3,0,1.280048
plateau M ge 800,R,1000,1,0.15,0.3,1,0.025605965
plateau M ge 800,R,1000,1,0.15,0.3,2,0.0005138212300000001
plateau M ge 800,R,1000,1,0.15,0.3,3,-2.6508915000000004e-05
plateau M ge 800,R,1000,1,0.15,0.3,4,-0.00011030228000000001
plateau M ge 800,R,1000,1,0.15,0.3,5,5.6714899e-06
plateau M ge 800,R,1000,1,0.15,0.3,6,3.6093395e-05
plateau M ge 800,R,1000,1,0.15,0.3,7,-1.4139737e-05
plateau M ge 800,R,1000,1,0.15,0.3,8,-3.192662e-05
plateau M ge 800,R,1000,2,0.3,0.45,0,1.3372906
plateau M ge 800,R,1000,2,0.3,0.45,1,0.03181822
plateau M ge 800,R,1000,2,0.3,0.45,2,0.00072036995
plateau M ge 800,R,1000,2,0.3,0.45,3,2.3852678e-05
plateau M ge 800,R,1000,2,0.3,0.45,4,-0.00012047893999999999
plateau M ge 800,R,1000,2,0.3,0.45,5,1.9628574000000003e-05
plateau M ge 800,R,1000,2,0.3,0.45,6,7.0231213e-05
plateau M ge 800,R,1000,2,0.3,0.45,7,9.9005758e-06
plateau M ge 800,R,1000,2,0.3,0.45,8,-3.3791721e-05
plateau M ge 800,R,1000,3,0.45,0.6,0,1.4114904
plateau M ge 800,R,1000,3,0.45,0.6,1,0.043000844
plateau M ge 800,R,1000,3,0.45,0.6,2,0.001718171
plateau M ge 800,R,1000,3,0.45,0.6,3,0.00017210029000000002
plateau M ge 800,R,1000,3,0.45,0.6,4,-9.6650394e-06
plateau M ge 800,R,1000,3,0.45,0.6,5,0.0001744854
plateau M ge 800,R,1000,3,0.45,0.6,6,5.8036039000000005e-05
plateau M ge 800,R,1000,3,0.45,0.6,7,-0.00012312551000000002
plateau M ge 800,R,1000,3,0.45,0.6,8,-7.950979700000001e-05
plateau M ge 800,R,1000,4,0.6,0.72,0,1.6406305
plateau M ge 800,R,1000,4,0.6,0.72,1,0.24922233
plateau M ge 800,R,1000,4,0.6,0.72,2,0.069975387
plateau M ge 800,R,1000,4,0.6,0.72,3,-0.0017560182
plateau M ge 800,R,1000,4,0.6,0.72,4,0.0015327601
plateau M ge 800,R,1000,4,0.6,0.72,5,0.0039707921
plateau M ge 800,R,1000,4,0.6,0.72,6,-0.0042932749
plateau M ge 800,R,1000,4,0.6,0.72,7,-0.0059169554
plateau M ge 800,R,1000,4,0.6,0.72,8,0.0018837921
plateau M ge 800,R,1000,5,0.72,0.82,0,2.2542804
plateau M ge 800,R,1000,5,0.72,0.82,1,0.30035295
plateau M ge 800,R,1000,5,0.72,0.82,2,0.010204968
plateau M ge 800,R,1000,5,0.72,0.82,3,0.0067027691
plateau M ge 800,R,1000,5,0.72,0.82,4,0.0020186332
plateau M ge 800,R,1000,5,0.72,0.82,5,0.00068620118
plateau M ge 800,R,1000,5,0.72,0.82,6,0.00043143642
plateau M ge 800,R,1000,5,0.72,0.82,7,-0.00032171534000000003
plateau M ge 800,R,1000,5,0.72,0.82,8,0.0017264284
plateau M ge 800,R,1000,6,0.82,0.9,0,3.4302837
plateau M ge 800,R,1000,6,0.82,0.9,1,0.80129871
plateau M ge 800,R,1000,6,0.82,0.9,2,-0.32366513
plateau M ge 800,R,1000,6,0.82,0.9,3,-0.03039467
plateau M ge 800,R,1000,6,0.82,0.9,4,0.10243501
plateau M ge 800,R,1000,6,0.82,0.9,5,0.0022404702
plateau M ge 800,R,1000,6,0.82,0.9,6,-0.086332394
plateau M ge 800,R,1000,6,0.82,0.9,7,0.071296255
plateau M ge 800,R,1000,6,0.82,0.9,8,-0.002431492
plateau M ge 800,R,1000,7,0.9,0.96,0,3.9498664
plateau M ge 800,R,1000,7,0.9,0.96,1,0.0025107219
plateau M ge 800,R,1000,7,0.9,0.96,2,0.00017523448
plateau M ge 800,R,1000,7,0.9,0.96,3,2.4993309e-05
plateau M ge 800,R,1000,7,0.9,0.96,4,-5.137325500000001e-05
plateau M ge 800,R,1000,7,0.9,0.96,5,7.4332132e-06
plateau M ge 800,R,1000,7,0.9,0.96,6,5.0902281e-06
plateau M ge 800,R,1000,7,0.9,0.96,7,1.1316615000000002e-05
plateau M ge 800,R,1000,7,0.9,0.96,8,-1.5202059000000003e-05
plateau M ge 800,R,1000,8,0.96,1.0,0,3.9545264
plateau M ge 800,R,1000,8,0.96,1.0,1,0.0021149169
plateau M ge 800,R,1000,8,0.96,1.0,2,8.452096e-05
plateau M ge 800,R,1000,8,0.96,1.0,3,0.00016479685
plateau M ge 800,R,1000,8,0.96,1.0,4,4.7787096000000004e-05
plateau M ge 800,R,1000,8,0.96,1.0,5,5.7027654000000004e-05
plateau M ge 800,R,1000,8,0.96,1.0,6,-1.2119575000000002e-05
plateau M ge 800,R,1000,8,0.96,1.0,7,1.3172827000000001e-05
plateau M ge 800,R,1000,8,0.96,1.0,8,-9.4461946e-06
replenishment 250 700,L,250,0,0.0,0.2,0,6.7267998
replenishment 250 700,L,250,0,0.0,0.2,1,0.010252163
replenishment 250 700,L,250,0,0.0,0.2,2,0.0006735990600000001
replenishment 250 700,L,250,0,0.0,0.2,3,-0.00040710234
replenishment 250 700,L,250,0,0.0,0.2,4,0.00036671794000000006
replenishment 250 700,L,250,0,0.0,0.2,5,-0.00024890379
replenishment 250 700,L,250,0,0.0,0.2,6,0.00026494566
replenishment 250 700,L,250,0,0.0,0.2,7,-0.00014123739
replenishment 250 700,L,250,0,0.0,0.2,8,0.00016424451000000002
replenishment 250 700,L,250,1,0.2,0.4,0,6.7486429
replenishment 250 700,L,250,1,0.2,0.4,1,0.011245447
replenishment 250 700,L,250,1,0.2,0.4,2,-2.4628953000000002e-05
replenishment 250 700,L,250,1,0.2,0.4,3,1.3162192e-05
replenishment 250 700,L,250,1,0.2,0.4,4,2.1029245e-05
replenishment 250 700,L,250,1,0.2,0.4,5,-7.3145641e-07
replenishment 250 700,L,250,1,0.2,0.4,6,-1.2941217e-06
replenishment 250 700,L,250,1,0.2,0.4,7,-7.9579046e-07
replenishment 250 700,L,250,1,0.2,0.4,8,1.8075447e-06
replenishment 250 700,L,250,2,0.4,0.6,0,6.7775773
replenishment 250 700,L,250,2,0.4,0.6,1,0.020027506
replenishment 250 700,L,250,2,0.4,0.6,2,0.0019733923
replenishment 250 700,L,250,2,0.4,0.6,3,-0.00048289842
replenishment 250 700,L,250,2,0.4,0.6,4,-0.00020798848
replenishment 250 700,L,250,2,0.4,0.6,5,-0.00011514409000000001
replenishment 250 700,L,250,2,0.4,0.6,6,-0.00016723754
replenishment 250 700,L,250,2,0.4,0.6,7,0.00011002095999999999
replenishment 250 700,L,250,2,0.4,0.6,8,-7.134225e-05
replenishment 250 700,L,250,3,0.6,0.72,0,6.8052906
replenishment 250 700,L,250,3,0.6,0.72,1,0.006821428
replenishment 250 700,L,250,3,0.6,0.72,2,1.3690714000000001e-05
replenishment 250 700,L,250,3,0.6,0.72,3,-9.4726344e-07
replenishment 250 700,L,250,3,0.6,0.72,4,-3.507475e-06
replenishment 250 700,L,250,3,0.6,0.72,5,-6.025335e-08
replenishment 250 700,L,250,3,0.6,0.72,6,6.7027938e-07
replenishment 250 700,L,250,3,0.6,0.72,7,-4.5969047999999995e-07
replenishment 250 700,L,250,3,0.6,0.72,8,-1.0823980999999999e-06
replenishment 250 700,L,250,4,0.72,0.76,0,6.8140564
replenishment 250 700,L,250,4,0.72,0.76,1,0.0019377562
replenishment 250 700,L,250,4,0.72,0.76,2,-7.8440282e-11
replenishment 250 700,L,250,4,0.72,0.76,3,-3.3359336e-12
replenishment 250 700,L,250,4,0.72,0.76,4,-6.2442075e-11
replenishment 250 700,L,250,4,0.72,0.76,5,-2.019161e-12
replenishment 250 700,L,250,4,0.72,0.76,6,-3.9105232e-11
replenishment 250 700,L,250,4,0.72,0.76,7,-7.4023437e-13
replenishment 250 700,L,250,4,0.72,0.76,8,-1.5409981999999998e-11
replenishment 250 700,L,250,5,0.76,0.78,0,6.8171015
replenishment 250 700,L,250,5,0.76,0.78,1,0.0011072893
replenishment 250 700,L,250,5,0.76,0.78,2,-4.201729699999999e-12
replenishment 250 700,L,250,5,0.76,0.78,3,-4.284572e-12
replenishment 250 700,L,250,5,0.76,0.78,4,-2.3202057e-12
replenishment 250 700,L,250,5,0.76,0.78,5,-2.3372234e-12
replenishment 250 700,L,250,6,0.78,0.8,0,6.8193132
replenishment 250 700,L,250,6,0.78,0.8,1,0.0011044283
replenishment 250 700,L,250,6,0.78,0.8,2,-3.5596161e-12
replenishment 250 700,L,250,6,0.78,0.8,3,-3.7945708e-12
replenishment 250 700,L,250,6,0.78,0.8,4,-1.9924614e-12
replenishment 250 700,L,250,6,0.78,0.8,5,-2.1198495e-12
replenishment 250 700,L,250,7,0.8,0.88,0,6.8252324
replenishment 250 700,L,250,7,0.8,0.88,1,0.0048711549
replenishment 250 700,L,250,7,0.8,0.88,2,5.6529944e-05
replenishment 250 700,L,250,7,0.8,0.88,3,-1.0832957000000002e-05
replenishment 250 700,L,250,7,0.8,0.88,4,-6.2534225e-06
replenishment 250 700,L,250,7,0.8,0.88,5,6.6120837999999994e-06
replenishment 250 700,L,250,7,0.8,0.88,6,2.8406387999999997e-06
replenishment 250 700,L,250,7,0.8,0.88,7,-3.842979199999999e-06
replenishment 250 700,L,250,7,0.8,0.88,8,1.4097339e-06
replenishment 250 700,L,250,8,0.88,0.95,0,6.8344824
replenishment 250 700,L,250,8,0.88,0.95,1,0.0042738755
replenishment 250 700,L,250,8,0.88,0.95,2,-8.3766764e-05
replenishment 250 700,L,250,8,0.88,0.95,3,-2.4155107e-05
replenishment 250 700,L,250,8,0.88,0.95,4,5.700094e-06
replenishment 250 700,L,250,8,0.88,0.95,5,1.2814636000000001e-05
replenishment 250 700,L,250,8,0.88,0.95,6,1.1241e-06
replenishment 250 700,L,250,8,0.88,0.95,7,-4.274104399999999e-06
replenishment 250 700,L,250,8,0.88,0.95,8,-5.0130197e-06
replenishment 250 700,L,250,9,0.95,1.0,0,6.842125
replenishment 250 700,L,250,9,0.95,1.0,1,0.0036648814
replenishment 250 700,L,250,9,0.95,1.0,2,0.00068267526
replenishment 250 700,L,250,9,0.95,1.0,3,0.00021223603000000002
replenishment 250 700,L,250,9,0.95,1.0,4,0.00031074374
replenishment 250 700,L,250,9,0.95,1.0,5,7.6816643e-05
replenishment 250 700,L,250,9,0.95,1.0,6,0.00014495145
replenishment 250 700,L,250,9,0.95,1.0,7,1.3173626000000002e-05
replenishment 250 700,L,250,9,0.95,1.0,8,7.4222015e-05
replenishment 250 700,L,300,0,0.0,0.2,0,6.8325589
replenishment 250 700,L,300,0,0.0,0.2,1,0.0089259783
replenishment 250 700,L,300,0,0.0,0.2,2,0.00055036399
replenishment 250 700,L,300,0,0.0,0.2,3,-0.00033269289
replenishment 250 700,L,300,0,0.0,0.2,4,0.00028412088
replenishment 250 700,L,300,0,0.0,0.2,5,-0.00019215592
replenishment 250 700,L,300,0,0.0,0.2,6,0.00020030084000000002
replenishment 250 700,L,300,0,0.0,0.2,7,-0.0001072668
replenishment 250 700,L,300,0,0.0,0.2,8,0.00011848970999999999
replenishment 250 700,L,300,1,0.2,0.4,0,6.8521513
replenishment 250 700,L,300,1,0.2,0.4,1,0.010734519
replenishment 250 700,L,300,1,0.2,0.4,2,0.00030612149999999997
replenishment 250 700,L,300,1,0.2,0.4,3,-0.0001816733
replenishment 250 700,L,300,1,0.2,0.4,4,-0.00017148822
replenishment 250 700,L,300,1,0.2,0.4,5,-1.1075317e-05
replenishment 250 700,L,300,1,0.2,0.4,6,3.1363014e-05
replenishment 250 700,L,300,1,0.2,0.4,7,-1.4416803000000002e-05
replenishment 250 700,L,300,1,0.2,0.4,8,-4.9962722e-06
replenishment 250 700,L,300,2,0.4,0.6,0,6.8723777
replenishment 250 700,L,300,2,0.4,0.6,1,0.0094981138
replenishment 250 700,L,300,2,0.4,0.6,2,7.0160892e-05
replenishment 250 700,L,300,2,0.4,0.6,3,3.5671262e-05
replenishment 250 700,L,300,2,0.4,0.6,4,-1.5079413e-05
replenishment 250 700,L,300,2,0.4,0.6,5,-1.3806551000000002e-05
replenishment 250 700,L,300,2,0.4,0.6,6,4.9597246999999995e-06
replenishment 250 700,L,300,2,0.4,0.6,7,6.131927e-06
replenishment 250 700,L,300,2,0.4,0.6,8,1.505177e-06
replenishment 250 700,L,300,3,0.6,0.72,0,6.8878155
replenishment 250 700,L,300,3,0.6,0.72,1,0.005874762
replenishment 250 700,L,300,3,0.6,0.72,2,1.7228631e-05
replenishment 250 700,L,300,3,0.6,0.72,3,-1.2031564999999998e-07
replenishment 250 700,L,300,3,0.6,0.72,4,-3.7042073999999998e-06
replenishment 250 700,L,300,3,0.6,0.72,5,1.9495766999999999e-07
replenishment 250 700,L,300,3,0.6,0.72,6,1.2562414e-06
replenishment 250 700,L,300,3,0.6,0.72,7,-6.0719993e-08
replenishment 250 700,L,300,3,0.6,0.72,8,-1.1177000999999998e-06
replenishment 250 700,L,300,4,0.72,0.76,0,6.8954637
replenishment 250 700,L,300,4,0.72,0.76,1,0.0017623747
replenishment 250 700,L,300,4,0.72,0.76,2,-7.8123017e-11
replenishment 250 700,L,300,4,0.72,0.76,3,-3.2905489e-12
replenishment 250 700,L,300,4,0.72,0.76,4,-6.219001999999999e-11
replenishment 250 700,L,300,4,0.72,0.76,5,-1.9886058e-12
replenishment 250 700,L,300,4,0.72,0.76,6,-3.8947882e-11
replenishment 250 700,L,300,4,0.72,0.76,7,-7.2621512e-13
replenishment 250 700,L,300,4,0.72,0.76,8,-1.534832e-11
replenishment 250 700,L,300,5,0.76,0.78,0,6.8982331
replenishment 250 700,L,300,5,0.76,0.78,1,0.0010070712
replenishment 250 700,L,300,5,0.76,0.78,2,-4.2529883e-12
replenishment 250 700,L,300,5,0.76,0.78,3,-4.3344385e-12
replenishment 250 700,L,300,5,0.76,0.78,4,-2.3481811e-12
replenishment 250 700,L,300,5,0.76,0.78,5,-2.3645396999999998e-12
replenishment 250 700,L,300,6,0.78,0.8,0,6.9003225
replenishment 250 700,L,300,6,0.78,0.8,1,0.0011108797
replenishment 250 700,L,300,6,0.78,0.8,2,2.5220524000000003e-05
replenishment 250 700,L,300,6,0.78,0.8,3,-3.7487902e-06
replenishment 250 700,L,300,6,0.78,0.8,4,3.9944339e-06
replenishment 250 700,L,300,6,0.78,0.8,5,4.127719899999999e-06
replenishment 250 700,L,300,7,0.8,0.88,0,6.9062186
replenishment 250 700,L,300,7,0.8,0.88,1,0.0047550107
replenishment 250 700,L,300,7,0.8,0.88,2,-2.9526774e-05
replenishment 250 700,L,300,7,0.8,0.88,3,5.5709818e-07
replenishment 250 700,L,300,7,0.8,0.88,4,6.0152623e-06
replenishment 250 700,L,300,7,0.8,0.88,5,-4.6348035e-07
replenishment 250 700,L,300,7,0.8,0.88,6,-2.3274946e-06
replenishment 250 700,L,300,7,0.8,0.88,7,2.8683090999999995e-07
replenishment 250 700,L,300,7,0.8,0.88,8,1.7617544999999997e-06
replenishment 250 700,L,300,8,0.88,0.95,0,6.9147417
replenishment 250 700,L,300,8,0.88,0.95,1,0.0037615054
replenishment 250 700,L,300,8,0.88,0.95,2,-3.547611e-05
replenishment 250 700,L,300,8,0.88,0.95,3,-2.2309470000000002e-05
replenishment 250 700,L,300,8,0.88,0.95,4,-1.238068e-05
replenishment 250 700,L,300,8,0.88,0.95,5,-4.6887905e-06
replenishment 250 700,L,300,8,0.88,0.95,6,3.0766006e-06
replenishment 250 700,L,300,8,0.88,0.95,7,1.9918751e-06
replenishment 250 700,L,300,8,0.88,0.95,8,4.4191e-06
replenishment 250 700,L,300,9,0.95,1.0,0,6.9209583
replenishment 250 700,L,300,9,0.95,1.0,1,0.0026225253
replenishment 250 700,L,300,9,0.95,1.0,2,8.185636300000001e-05
replenishment 250 700,L,300,9,0.95,1.0,3,3.6524153e-05
replenishment 250 700,L,300,9,0.95,1.0,4,-2.9089530000000002e-05
replenishment 250 700,L,300,9,0.95,1.0,5,2.6160659999999997e-07
replenishment 250 700,L,300,9,0.95,1.0,6,-5.9987908e-06
replenishment 250 700,L,300,9,0.95,1.0,7,1.3723434000000003e-05
replenishment 250 700,L,300,9,0.95,1.0,8,-3.1621459999999998e-06
replenishment 250 700,L,400,0,0.0,0.2,0,6.9942901
replenishment 250 700,L,400,0,0.0,0.2,1,0.0077865853
replenishment 250 700,L,400,0,0.0,0.2,2,0.00046317741000000004
replenishment 250 700,L,400,0,0.0,0.2,3,-0.00026621377
replenishment 250 700,L,400,0,0.0,0.2,4,0.00020091736
replenishment 250 700,L,400,0,0.0,0.2,5,-0.00011943125000000002
replenishment 250 700,L,400,0,0.0,0.2,6,0.00010122586
replenishment 250 700,L,400,0,0.0,0.2,7,-4.9191182e-05
replenishment 250 700,L,400,0,0.0,0.2,8,6.4376717e-05
replenishment 250 700,L,400,1,0.2,0.4,0,7.0106657
replenishment 250 700,L,400,1,0.2,0.4,1,0.0084222071
replenishment 250 700,L,400,1,0.2,0.4,2,0.00023547566
replenishment 250 700,L,400,1,0.2,0.4,3,0.00022846570000000004
replenishment 250 700,L,400,1,0.2,0.4,4,0.00016457273
replenishment 250 700,L,400,1,0.2,0.4,5,0.00013375552
replenishment 250 700,L,400,1,0.2,0.4,6,8.8074167e-05
replenishment 250 700,L,400,1,0.2,0.4,7,4.931642400000001e-05
replenishment 250 700,L,400,1,0.2,0.4,8,2.5733171000000004e-05
replenishment 250 700,L,400,2,0.4,0.6,0,7.0322779
replenishment 250 700,L,400,2,0.4,0.6,1,0.010895125
replenishment 250 700,L,400,2,0.4,0.6,2,-0.0013780153
replenishment 250 700,L,400,2,0.4,0.6,3,0.00032893393000000003
replenishment 250 700,L,400,2,0.4,0.6,4,-1.0685754000000001e-05
replenishment 250 700,L,400,2,0.4,0.6,5,-0.00012734264
replenishment 250 700,L,400,2,0.4,0.6,6,9.6966247e-05
replenishment 250 700,L,400,2,0.4,0.6,7,2.6006727000000003e-05
replenishment 250 700,L,400,2,0.4,0.6,8,-8.932599800000001e-05
replenishment 250 700,L,400,3,0.6,0.72,0,7.0467416
replenishment 250 700,L,400,3,0.6,0.72,1,0.0046291795
replenishment 250 700,L,400,3,0.6,0.72,2,-1.4092927e-06
replenishment 250 700,L,400,3,0.6,0.72,3,5.550247299999999e-06
replenishment 250 700,L,400,3,0.6,0.72,4,-3.3949742999999996e-06
replenishment 250 700,L,400,3,0.6,0.72,5,1.2695271e-06
replenishment 250 700,L,400,3,0.6,0.72,6,-6.985208599999999e-07
replenishment 250 700,L,400,3,0.6,0.72,7,4.3868409e-07
replenishment 250 700,L,400,3,0.6,0.72,8,4.3942756999999993e-07
replenishment 250 700,L,400,4,0.72,0.76,0,7.0527375
replenishment 250 700,L,400,4,0.72,0.76,1,0.0013795297
replenishment 250 700,L,400,4,0.72,0.76,2,2.2133862e-07
replenishment 250 700,L,400,4,0.72,0.76,3,-2.7697261e-06
replenishment 250 700,L,400,4,0.72,0.76,4,-1.1743561e-05
replenishment 250 700,L,400,4,0.72,0.76,5,-1.3850735e-06
replenishment 250 700,L,400,4,0.72,0.76,6,-4.9451257e-06
replenishment 250 700,L,400,4,0.72,0.76,7,-9.8041144e-07
replenishment 250 700,L,400,4,0.72,0.76,8,-2.961464e-06
replenishment 250 700,L,400,5,0.76,0.78,0,7.0549416
replenishment 250 700,L,400,5,0.76,0.78,1,0.0008054524900000001
replenishment 250 700,L,400,5,0.76,0.78,2,-4.347212500000001e-12
replenishment 250 700,L,400,5,0.76,0.78,3,-4.4319685e-12
replenishment 250 700,L,400,5,0.76,0.78,4,-2.4005334e-12
replenishment 250 700,L,400,5,0.76,0.78,5,-2.4175645000000002e-12
replenishment 250 700,L,400,6,0.78,0.8,0,7.0565525
replenishment 250 700,L,400,6,0.78,0.8,1,0.0008054524900000001
replenishment 250 700,L,400,6,0.78,0.8,2,-3.6778174e-12
replenishment 250 700,L,400,6,0.78,0.8,3,-3.9193991e-12
replenishment 250 700,L,400,6,0.78,0.8,4,-2.0590681e-12
replenishment 250 700,L,400,6,0.78,0.8,5,-2.1892127999999997e-12
replenishment 250 700,L,400,7,0.8,0.88,0,7.061035
replenishment 250 700,L,400,7,0.8,0.88,1,0.0036517237
replenishment 250 700,L,400,7,0.8,0.88,2,-2.3977305000000005e-05
replenishment 250 700,L,400,7,0.8,0.88,3,-5.7744187e-06
replenishment 250 700,L,400,7,0.8,0.88,4,3.1894878e-06
replenishment 250 700,L,400,7,0.8,0.88,5,2.7848288e-06
replenishment 250 700,L,400,7,0.8,0.88,6,-3.8195337e-07
replenishment 250 700,L,400,7,0.8,0.88,7,-1.8448483e-06
replenishment 250 700,L,400,7,0.8,0.88,8,-5.2559202e-07
replenishment 250 700,L,400,8,0.88,0.95,0,7.0674033
replenishment 250 700,L,400,8,0.88,0.95,1,0.0026664758
replenishment 250 700,L,400,8,0.88,0.95,2,-3.2739382000000004e-05
replenishment 250 700,L,400,8,0.88,0.95,3,2.8654073000000004e-05
replenishment 250 700,L,400,8,0.88,0.95,4,1.2458513000000002e-05
replenishment 250 700,L,400,8,0.88,0.95,5,-3.4804852999999996e-06
replenishment 250 700,L,400,8,0.88,0.95,6,1.6413881e-05
replenishment 250 700,L,400,8,0.88,0.95,7,-3.3884509999999995e-07
replenishment 250 700,L,400,8,0.88,0.95,8,3.337541e-06
replenishment 250 700,L,400,9,0.95,1.0,0,7.0727437
replenishment 250 700,L,400,9,0.95,1.0,1,0.0028201919
replenishment 250 700,L,400,9,0.95,1.0,2,0.0004642765
replenishment 250 700,L,400,9,0.95,1.0,3,0.00025202214
replenishment 250 700,L,400,9,0.95,1.0,4,0.00022174752
replenishment 250 700,L,400,9,0.95,1.0,5,7.8837907e-05
replenishment 250 700,L,400,9,0.95,1.0,6,8.3666503e-05
replenishment 250 700,L,400,9,0.95,1.0,7,1.2579821e-05
replenishment 250 700,L,400,9,0.95,1.0,8,2.6472176e-05
replenishment 250 700,L,500,0,0.0,0.2,0,7.1152332
replenishment 250 700,L,500,0,0.0,0.2,1,0.0068701324
replenishment 250 700,L,500,0,0.0,0.2,2,0.00036996096000000003
replenishment 250 700,L,500,0,0.0,0.2,3,-0.00020727291
replenishment 250 700,L,500,0,0.0,0.2,4,0.00013672412000000002
replenishment 250 700,L,500,0,0.0,0.2,5,-7.3705921e-05
replenishment 250 700,L,500,0,0.0,0.2,6,4.9563277000000004e-05
replenishment 250 700,L,500,0,0.0,0.2,7,-2.1440212e-05
replenishment 250 700,L,500,0,0.0,0.2,8,3.0245098000000004e-05
replenishment 250 700,L,500,1,0.2,0.4,0,7.1294776
replenishment 250 700,L,500,1,0.2,0.4,1,0.0071132427
replenishment 250 700,L,500,1,0.2,0.4,2,-2.2767338000000002e-05
replenishment 250 700,L,500,1,0.2,0.4,3,1.2254007e-05
replenishment 250 700,L,500,1,0.2,0.4,4,4.7657242999999996e-07
replenishment 250 700,L,500,1,0.2,0.4,5,5.7640774e-06
replenishment 250 700,L,500,1,0.2,0.4,6,-3.3649076999999997e-06
replenishment 250 700,L,500,1,0.2,0.4,7,1.4173693999999997e-06
replenishment 250 700,L,500,1,0.2,0.4,8,6.1322419e-07
replenishment 250 700,L,500,2,0.4,0.6,0,7.1455831
replenishment 250 700,L,500,2,0.4,0.6,1,0.010236389
replenishment 250 700,L,500,2,0.4,0.6,2,0.001623675
replenishment 250 700,L,500,2,0.4,0.6,3,0.00029782424000000004
replenishment 250 700,L,500,2,0.4,0.6,4,-0.00032012066
replenishment 250 700,L,500,2,0.4,0.6,5,-0.00024070252
replenishment 250 700,L,500,2,0.4,0.6,6,-1.0352365999999999e-07
replenishment 250 700,L,500,2,0.4,0.6,7,0.00011218138
replenishment 250 700,L,500,2,0.4,0.6,8,8.865342e-06
replenishment 250 700,L,500,3,0.6,0.72,0,7.1627268
replenishment 250 700,L,500,3,0.6,0.72,1,0.0051601224
replenishment 250 700,L,500,3,0.6,0.72,2,-0.00048678811000000004
replenishment 250 700,L,500,3,0.6,0.72,3,-4.1267459000000005e-05
replenishment 250 700,L,500,3,0.6,0.72,4,0.00010330977
replenishment 250 700,L,500,3,0.6,0.72,5,1.3373134e-05
replenishment 250 700,L,500,3,0.6,0.72,6,-3.1438203e-05
replenishment 250 700,L,500,3,0.6,0.72,7,-2.1329675000000002e-05
replenishment 250 700,L,500,3,0.6,0.72,8,2.7883628000000002e-05
replenishment 250 700,L,500,4,0.72,0.76,0,7.1685714
replenishment 250 700,L,500,4,0.72,0.76,1,0.0011271257
replenishment 250 700,L,500,4,0.72,0.76,2,-1.2945526e-06
replenishment 250 700,L,500,4,0.72,0.76,3,9.8239576e-07
replenishment 250 700,L,500,4,0.72,0.76,4,-6.017375399999999e-07
replenishment 250 700,L,500,4,0.72,0.76,5,3.4039614999999996e-07
replenishment 250 700,L,500,4,0.72,0.76,6,-1.3030341e-07
replenishment 250 700,L,500,4,0.72,0.76,7,4.6211895e-08
replenishment 250 700,L,500,4,0.72,0.76,8,-1.0069093e-09
replenishment 250 700,L,500,5,0.76,0.78,0,7.170341
replenishment 250 700,L,500,5,0.76,0.78,1,0.00064316556
replenishment 250 700,L,500,5,0.76,0.78,2,-4.4244570999999994e-12
replenishment 250 700,L,500,5,0.76,0.78,3,-4.5105846e-12
replenishment 250 700,L,500,5,0.76,0.78,4,-2.4432009e-12
replenishment 250 700,L,500,5,0.76,0.78,5,-2.4604955e-12
